epoch,train_accuracy,val_accuracy,train_loss,val_loss,train_f1,val_f1
1,0.7623809523809524,0.7651111111111111,0.9477519657423145,0.8998443625920208,0.4589026241596183,0.44804177545691903
2,0.6845238095238095,0.6722222222222223,0.8716225124203814,0.8445897550447613,0.4642135058633239,0.4380952380952381
3,0.7237619047619047,0.7206666666666667,0.9271612076182344,0.8943014592989117,0.46598545521494983,0.4435590969455511
4,0.588952380952381,0.5848888888888889,0.9323833066760314,0.9133764978841687,0.4296286507202326,0.40811153358681873
5,0.7119047619047619,0.7048888888888889,0.8924087563152545,0.847958226153191,0.4649805447470817,0.4368108566581849
6,0.7095238095238096,0.7064444444444444,0.7762280918963967,0.753029077611071,0.492089925062448,0.46883795737836753
7,0.7684761904761904,0.772,0.7481732215375116,0.7100366652011871,0.5330388013830196,0.5183098591549296
8,0.7844761904761904,0.7773333333333333,0.7068362313590638,0.6759400166941028,0.5555773762765122,0.5282485875706214
9,0.6463333333333333,0.6346666666666667,0.9124575982173647,0.9003360994318699,0.44727245664954973,0.41908127208480567
10,0.71,0.7077777777777777,0.8140490194343177,0.7797557838419651,0.4801980198019802,0.45951500205507606
11,0.7052857142857143,0.6942222222222222,0.9218816580293385,0.8884595509961988,0.4629934924078091,0.4304635761589404
12,0.7367619047619047,0.7384444444444445,0.9480703472637513,0.9043104921249633,0.4581454616741815,0.44349881796690305
13,0.8225714285714286,0.8264444444444444,0.7747599955653854,0.7339000110085129,0.5371428571428571,0.5258044930176078
